Season,Episode,Character,Line
12,7,Mr. Garrison,all right kids go ahead and visit the charming villagers and learn stuff  keep track of your partner
10,8,Randy,youve been on your computer all weekend shouldnt you go out and socialize with your friends
1,2,Chef,did you all hear about the news kathie lee gifford is coming to south park
3,4,Stan,well
1,10,Chef,hows it going
1,7,Chef,aaaaaaaaaah
4,4,Mr. Mackey,mkay
2,10,Chef,what makes you think i would know anything about that
9,2,Cartman,i dont want you to worry about me clyde frog  hey youre the best stuffed animal ive ever had
9,12,Cartman,aw man i got a crappy aj feeley again
4,6,Kenny,come on
13,5,Mr. Mackey,fishsticks yeah i l i like fishsticks mkay
12,14,Mr. Mackey,mkay so now the computer will show a command bar mkay and we type in x  y  1 mkay and then it says we hit commandy to bring up the menu screen
13,10,Stan,its triceratops and hes with irene
10,3,Randy,a cartoon a cartoon is about to air on american television with with the muslim prophet mohammad as a character
15,3,Mr. Garrison,whereas salagadoola mechicka boola  x and bibbidibobbidiboo is y put em together and whattaya got bibbidibobbidiboo x  y  y x  0 the song is badly written second verse x  y  bibbidibobbidi cubed  boo
7,15,Kyle,look we dont have a lot of time here okay can you just tell us where the new prime minister is
12,7,Butters,no
5,6,Cartman,im not keeping it mr garrison im spending it
4,10,Mr. Mackey,uh god is our refuge and strength mkay a very present help in trouble mkay  therefore will not we fear though the earth be removed and though the mountains be carried into the midst of the sea
15,7,Sharon,stop pretending to like the kids music randy its pathetic you know damn well it sounds like crap to you too
7,14,Mr. Garrison,all right kids out on the gym floor for pe class
15,10,Mr. Mackey,uh hi jan its counselor mackey uh how long would it take to organize a pizza friday for the students yeah yeah no they uh they actually did really well on the state exam yeah mkay
3,17,Mr. Mackey,oh hm uh i guess thats a little different
12,11,Kenny,i think were fucked
7,12,Stan,no it proves he did make it all up are you blind
4,17,Kenny,yeah right awesome
4,2,Stan,oh my god
6,10,Butters,huh bebes cool huh huh fellas
1,11,Kyle,and i got these killer birkenstocks
13,10,Cartman,i might have to wait for my hepatitis test but in the mean time i have brought my comrade from mexico to wrestle against you
8,3,Stan,no dude if you wanna be christian thats cool but you should follow what jesus taught instead of how he got killed focusing on how he got killed is what people did in the dark ages and it ends up with really bad results
15,7,Randy,well do you really thnk we should be telling our son what music he can and cant listen to
10,6,Kenny,hello
12,10,Kenny,woohoo
4,17,Kenny,yeah right awesome
3,3,Cartman,"if we can hold on to the night
weve got to find our way together"
11,6,Kyle,what was it about ihin case our teacher asks us
11,10,Butters,hey guys
8,10,Stan,what
7,1,Kenny,derrr
3,17,Stan,whoa mr mackey and mr hat are fighting
16,2,Kyle,thats the chemical equation for gold
1,1,Mr. Garrison,is there a problem boys
12,6,Sharon,all right each of you take a ticket when they call your name you can use the internet
4,12,Stan,this is it the end of innocence  this is the loss of that playful youth all our parents told us about
7,7,Randy,stan okay
2,4,Chef,dammit children why do i always have to be the one to explain all this stuff to you  ask your parents for once
17,6,Stan,ohhhhhhhhhhhhhhhh
10,14,Stan,hey
15,1,Butters,you didnt read them
5,1,Mr. Garrison,look its all about context well for example recently i have come out and admitted that i was a homosexual im gay that means that now i can say the word fag on television they usually dont allow fag but because im gay its alright and with the new approval of the word shit that means that finally i am free to sayhey there shitty shitty fag fagshitty shitty fag fag how do you dohey there shitty shitty fag fagshitty shitty fag fag how do you do oh this is great
5,14,Butters,a drive oh boy  i i love a good drive is dad comin too
3,2,Randy,uuuh mayor im a geologist
9,6,Stan,i want a breast
10,3,Kyle,no  aaaah  aaaah
13,5,Butters,hey look theres kevin stoley  hey kevin do you like fishsticks
